county_site_id,parameter_code,date_local,arithmetic_mean,max_value
049-0002,88101,1999-01-03,17.100000,17.100000
049-0002,88101,1999-01-06,16.300000,16.300000
049-0002,88101,1999-01-09,13.900000,13.900000
049-0002,88101,1999-01-12,9.800000,9.800000
049-0002,88101,1999-01-15,9.200000,9.200000
049-0002,88101,1999-01-18,12.200000,12.200000
049-0002,88101,1999-01-21,5.100000,5.100000
049-0002,88101,1999-01-24,13.200000,13.200000
049-0002,88101,1999-01-27,9.300000,9.300000
049-0002,88101,1999-01-30,38.300000,38.300000
049-0002,88101,1999-02-02,11.900000,11.900000
049-0002,88101,1999-02-05,10.000000,10.000000
049-0002,88101,1999-02-08,8.000000,8.000000
049-0002,88101,1999-02-11,8.200000,8.200000
049-0002,88101,1999-02-14,18.600000,18.600000
049-0002,88101,1999-02-17,4.700000,4.700000
049-0002,88101,1999-02-20,9.400000,9.400000
049-0002,88101,1999-02-23,4.800000,4.800000
049-0002,88101,1999-02-26,9.100000,9.100000
049-0002,88101,1999-03-01,6.100000,6.100000
049-0002,88101,1999-03-04,7.500000,7.500000
049-0002,88101,1999-03-07,9.300000,9.300000
049-0002,88101,1999-03-10,10.000000,10.000000
049-0002,88101,1999-03-13,18.300000,18.300000
049-0002,88101,1999-03-16,8.400000,8.400000
049-0002,88101,1999-03-19,11.900000,11.900000
049-0002,88101,1999-03-22,4.800000,4.800000
049-0002,88101,1999-03-25,6.000000,6.000000
049-0002,88101,1999-03-28,8.300000,8.300000
049-0002,88101,1999-03-31,9.200000,9.200000
049-0002,88101,1999-04-03,6.500000,6.500000
049-0002,88101,1999-04-06,4.900000,4.900000
049-0002,88101,1999-04-09,4.400000,4.400000
049-0002,88101,1999-04-12,10.200000,10.200000
049-0002,88101,1999-04-15,8.500000,8.500000
049-0002,88101,1999-04-18,5.600000,5.600000
049-0002,88101,1999-04-21,7.800000,7.800000
049-0002,88101,1999-04-24,6.200000,6.200000
049-0002,88101,1999-04-27,5.000000,5.000000
049-0002,88101,1999-04-30,5.100000,5.100000
049-0002,88101,1999-05-03,2.900000,2.900000
049-0002,88101,1999-05-06,4.100000,4.100000
049-0002,88101,1999-05-09,7.700000,7.700000
049-0002,88101,1999-05-12,4.800000,4.800000
049-0002,88101,1999-05-15,4.800000,4.800000
049-0002,88101,1999-05-18,5.800000,5.800000
049-0002,88101,1999-05-21,7.600000,7.600000
049-0002,88101,1999-05-24,4.300000,4.300000
049-0002,88101,1999-05-27,8.000000,8.000000
049-0002,88101,1999-05-30,5.900000,5.900000
049-0002,88101,1999-06-02,4.500000,4.500000
049-0002,88101,1999-06-05,4.300000,4.300000
049-0002,88101,1999-06-08,6.300000,6.300000
049-0002,88101,1999-06-11,5.100000,5.100000
049-0002,88101,1999-06-14,7.100000,7.100000
049-0002,88101,1999-06-17,5.800000,5.800000
049-0002,88101,1999-06-20,5.300000,5.300000
049-0002,88101,1999-06-23,7.000000,7.000000
049-0002,88101,1999-06-26,7.800000,7.800000
049-0002,88101,1999-06-29,5.300000,5.300000
049-0002,88101,1999-07-02,6.600000,6.600000
049-0002,88101,1999-07-05,13.900000,13.900000
049-0002,88101,1999-07-08,4.000000,4.000000
049-0002,88101,1999-07-11,10.500000,10.500000
049-0002,88101,1999-07-14,6.300000,6.300000
049-0002,88101,1999-07-17,7.200000,7.200000
049-0002,88101,1999-07-20,5.500000,5.500000
049-0002,88101,1999-07-23,1.700000,1.700000
049-0002,88101,1999-07-26,7.100000,7.100000
049-0002,88101,1999-07-29,6.300000,6.300000
049-0002,88101,1999-08-01,8.400000,8.400000
049-0002,88101,1999-08-04,6.500000,6.500000
049-0002,88101,1999-08-07,4.700000,4.700000
049-0002,88101,1999-08-10,5.800000,5.800000
049-0002,88101,1999-08-13,5.400000,5.400000
049-0002,88101,1999-08-16,7.400000,7.400000
049-0002,88101,1999-08-19,6.000000,6.000000
049-0002,88101,1999-08-22,7.900000,7.900000
049-0002,88101,1999-08-25,5.300000,5.300000
049-0002,88101,1999-08-28,6.100000,6.100000
049-0002,88101,1999-08-31,18.700000,18.700000
049-0002,88101,1999-09-03,5.500000,5.500000
049-0002,88101,1999-09-06,5.400000,5.400000
049-0002,88101,1999-09-09,8.900000,8.900000
049-0002,88101,1999-09-12,6.000000,6.000000
049-0002,88101,1999-09-15,6.300000,6.300000
