county_site_id,parameter_code,date_local,arithmetic_mean,max_value
057-0001,88101,1999-01-03,14.400000,14.400000
057-0001,88101,1999-01-06,23.600000,23.600000
057-0001,88101,1999-01-09,14.700000,14.700000
057-0001,88101,1999-01-12,3.400000,3.400000
057-0001,88101,1999-01-15,29.300000,29.300000
057-0001,88101,1999-01-18,1.200000,1.200000
057-0001,88101,1999-01-21,4.200000,4.200000
057-0001,88101,1999-01-24,4.500000,4.500000
057-0001,88101,1999-01-30,15.200000,15.200000
057-0001,88101,1999-02-02,15.300000,15.300000
057-0001,88101,1999-02-05,14.600000,14.600000
057-0001,88101,1999-02-08,6.200000,6.200000
057-0001,88101,1999-02-11,14.800000,14.800000
057-0001,88101,1999-02-14,28.000000,28.000000
057-0001,88101,1999-02-17,5.800000,5.800000
057-0001,88101,1999-02-20,9.300000,9.300000
057-0001,88101,1999-02-23,5.400000,5.400000
057-0001,88101,1999-02-26,5.600000,5.600000
057-0001,88101,1999-03-01,5.500000,5.500000
057-0001,88101,1999-03-04,4.200000,4.200000
057-0001,88101,1999-03-07,7.500000,7.500000
057-0001,88101,1999-03-10,7.200000,7.200000
057-0001,88101,1999-03-13,19.200000,19.200000
057-0001,88101,1999-03-16,8.600000,8.600000
057-0001,88101,1999-03-19,13.500000,13.500000
057-0001,88101,1999-03-22,6.400000,6.400000
057-0001,88101,1999-03-25,10.000000,10.000000
057-0001,88101,1999-03-28,9.100000,9.100000
057-0001,88101,1999-03-31,4.400000,4.400000
057-0001,88101,1999-04-03,7.900000,7.900000
057-0001,88101,1999-04-06,6.600000,6.600000
057-0001,88101,1999-04-09,3.500000,3.500000
057-0001,88101,1999-04-12,7.000000,7.000000
057-0001,88101,1999-04-15,5.500000,5.500000
057-0001,88101,1999-04-18,7.400000,7.400000
057-0001,88101,1999-04-21,6.900000,6.900000
057-0001,88101,1999-04-24,5.600000,5.600000
057-0001,88101,1999-04-27,3.500000,3.500000
057-0001,88101,1999-04-30,5.900000,5.900000
057-0001,88101,1999-05-03,3.400000,3.400000
057-0001,88101,1999-05-06,8.600000,8.600000
057-0001,88101,1999-05-09,4.500000,4.500000
057-0001,88101,1999-05-12,5.500000,5.500000
057-0001,88101,1999-05-15,3.700000,3.700000
057-0001,88101,1999-05-18,6.100000,6.100000
057-0001,88101,1999-05-21,7.400000,7.400000
057-0001,88101,1999-05-24,4.900000,4.900000
057-0001,88101,1999-05-27,7.300000,7.300000
057-0001,88101,1999-05-30,5.900000,5.900000
057-0001,88101,1999-06-02,4.000000,4.000000
057-0001,88101,1999-06-05,5.000000,5.000000
057-0001,88101,1999-06-08,6.200000,6.200000
057-0001,88101,1999-06-11,6.000000,6.000000
057-0001,88101,1999-06-14,7.900000,7.900000
057-0001,88101,1999-06-17,3.800000,3.800000
057-0001,88101,1999-06-20,8.500000,8.500000
057-0001,88101,1999-06-23,7.400000,7.400000
057-0001,88101,1999-06-26,5.700000,5.700000
057-0001,88101,1999-06-29,6.300000,6.300000
057-0001,88101,1999-07-02,7.900000,7.900000
057-0001,88101,1999-07-05,17.100000,17.100000
057-0001,88101,1999-07-08,8.800000,8.800000
057-0001,88101,1999-07-11,10.800000,10.800000
057-0001,88101,1999-07-14,7.000000,7.000000
057-0001,88101,1999-07-17,5.600000,5.600000
057-0001,88101,1999-07-20,7.300000,7.300000
057-0001,88101,1999-07-23,6.900000,6.900000
057-0001,88101,1999-07-26,10.100000,10.100000
057-0001,88101,1999-07-29,5.900000,5.900000
057-0001,88101,1999-08-01,7.000000,7.000000
057-0001,88101,1999-08-04,9.400000,9.400000
057-0001,88101,1999-08-07,6.700000,6.700000
057-0001,88101,1999-08-10,0.000000,0.000000
057-0001,88101,1999-08-13,6.600000,6.600000
057-0001,88101,1999-08-16,7.700000,7.700000
057-0001,88101,1999-08-19,8.800000,8.800000
057-0001,88101,1999-08-22,8.700000,8.700000
057-0001,88101,1999-08-25,8.900000,8.900000
057-0001,88101,1999-08-28,6.100000,6.100000
057-0001,88101,1999-08-31,17.700000,17.700000
057-0001,88101,1999-09-03,5.800000,5.800000
057-0001,88101,1999-09-09,11.900000,11.900000
057-0001,88101,1999-09-12,7.400000,7.400000
057-0001,88101,1999-09-15,10.700000,10.700000
057-0001,88101,1999-09-18,9.200000,9.200000
057-0001,88101,1999-09-21,8.800000,8.800000
057-0001,88101,1999-09-24,10.200000,10.200000
057-0001,88101,1999-09-27,6.600000,6.600000
057-0001,88101,1999-09-30,12.600000,12.600000
057-0001,88101,1999-10-03,8.000000,8.000000
057-0001,88101,1999-10-09,8.300000,8.300000
057-0001,88101,1999-10-12,11.000000,11.000000
057-0001,88101,1999-10-15,6.500000,6.500000
057-0001,88101,1999-10-18,10.900000,10.900000
057-0001,88101,1999-10-21,13.400000,13.400000
057-0001,88101,1999-10-24,12.800000,12.800000
057-0001,88101,1999-10-27,12.000000,12.000000
057-0001,88101,1999-10-30,12.500000,12.500000
057-0001,88101,1999-11-02,15.600000,15.600000
057-0001,88101,1999-11-08,14.700000,14.700000
057-0001,88101,1999-11-11,18.800000,18.800000
057-0001,88101,1999-11-14,15.800000,15.800000
057-0001,88101,1999-11-17,10.500000,10.500000
057-0001,88101,1999-11-20,9.700000,9.700000
057-0001,88101,1999-11-23,13.000000,13.000000
057-0001,88101,1999-11-26,10.000000,10.000000
057-0001,88101,1999-11-29,18.000000,18.000000
057-0001,88101,1999-12-02,11.500000,11.500000
057-0001,88101,1999-12-05,25.400000,25.400000
057-0001,88101,1999-12-08,12.200000,12.200000
057-0001,88101,1999-12-14,2.500000,2.500000
057-0001,88101,1999-12-17,8.600000,8.600000
057-0001,88101,1999-12-20,30.200000,30.200000
057-0001,88101,1999-12-26,29.600000,29.600000
057-0001,88101,1999-12-29,29.900000,29.900000
057-0001,88101,2000-01-01,49.700000,49.700000
057-0001,88101,2000-01-04,9.500000,9.500000
057-0001,88101,2000-01-07,27.100000,27.100000
057-0001,88101,2000-01-10,6.500000,6.500000
057-0001,88101,2000-01-13,18.100000,18.100000
057-0001,88101,2000-01-16,10.900000,10.900000
057-0001,88101,2000-01-19,12.800000,12.800000
057-0001,88101,2000-01-22,11.300000,11.300000
057-0001,88101,2000-01-25,12.400000,12.400000
057-0001,88101,2000-01-28,11.200000,11.200000
057-0001,88101,2000-01-31,19.100000,19.100000
057-0001,88101,2000-02-03,35.200000,35.200000
057-0001,88101,2000-02-06,21.800000,21.800000
057-0001,88101,2000-02-09,17.400000,17.400000
057-0001,88101,2000-02-12,3.600000,3.600000
057-0002,88101,2001-07-05,7.300000,7.300000
057-0002,88101,2001-07-08,7.200000,7.200000
057-0002,88101,2001-07-11,5.000000,5.000000
057-0002,88101,2001-07-21,3.900000,3.900000
057-0002,88101,2001-08-17,18.500000,18.500000
057-0002,88101,2001-08-20,10.700000,10.700000
057-0002,88101,2001-08-23,7.700000,7.700000
057-0002,88101,2001-08-26,7.900000,7.900000
057-0002,88101,2001-08-29,11.700000,11.700000
057-0002,88101,2001-09-01,8.300000,8.300000
057-0002,88101,2001-09-04,6.900000,6.900000
057-0002,88101,2001-09-07,5.100000,5.100000
057-0002,88101,2001-09-10,6.300000,6.300000
057-0002,88101,2001-09-13,9.000000,9.000000
057-0002,88101,2001-09-16,6.500000,6.500000
057-0002,88101,2001-09-19,7.000000,7.000000
057-0002,88101,2001-09-22,8.700000,8.700000
057-0002,88101,2001-09-25,9.300000,9.300000
057-0002,88101,2001-09-28,7.200000,7.200000
057-0002,88101,2001-10-01,8.400000,8.400000
057-0002,88101,2001-10-04,5.500000,5.500000
057-0002,88101,2001-10-07,8.000000,8.000000
057-0002,88101,2001-10-10,8.200000,8.200000
057-0002,88101,2001-10-13,4.200000,4.200000
057-0002,88101,2001-10-16,9.200000,9.200000
057-0002,88101,2001-10-19,8.500000,8.500000
057-0002,88101,2001-10-22,10.100000,10.100000
057-0002,88101,2001-10-25,7.700000,7.700000
057-0002,88101,2001-10-28,13.200000,13.200000
057-0002,88101,2001-10-31,3.200000,3.200000
057-0002,88101,2001-11-03,10.700000,10.700000
057-0002,88101,2001-11-06,11.700000,11.700000
057-0002,88101,2001-11-09,14.200000,14.200000
057-0002,88101,2001-11-12,14.800000,14.800000
057-0002,88101,2001-11-15,16.400000,16.400000
057-0002,88101,2001-11-18,10.100000,10.100000
057-0002,88101,2001-11-21,12.100000,12.100000
057-0002,88101,2001-11-24,3.700000,3.700000
057-0002,88101,2001-11-27,9.400000,9.400000
057-0002,88101,2001-11-30,10.100000,10.100000
057-0002,88101,2001-12-03,6.200000,6.200000
057-0002,88101,2001-12-06,2.300000,2.300000
057-0002,88101,2001-12-09,19.100000,19.100000
057-0002,88101,2001-12-12,20.600000,20.600000
057-0002,88101,2001-12-15,7.700000,7.700000
057-0002,88101,2001-12-18,35.300000,35.300000
057-0002,88101,2001-12-21,29.200000,29.200000
057-0002,88101,2001-12-24,29.100000,29.100000
057-0002,88101,2001-12-27,50.700000,50.700000
057-0002,88101,2001-12-30,66.600000,66.600000
057-0002,88101,2002-01-02,19.100000,19.100000
057-0002,88101,2002-01-05,27.000000,27.000000
057-0002,88101,2002-01-08,58.300000,58.300000
057-0002,88101,2002-01-11,47.200000,47.200000
057-0002,88101,2002-01-14,13.500000,13.500000
057-0002,88101,2002-01-17,30.300000,30.300000
057-0002,88101,2002-01-20,6.800000,6.800000
057-0002,88101,2002-01-23,9.400000,9.400000
057-0002,88101,2002-01-26,17.900000,17.900000
057-0002,88101,2002-01-29,30.600000,30.600000
057-0002,88101,2002-02-01,33.300000,33.300000
057-0002,88101,2002-02-04,59.800000,59.800000
057-0002,88101,2002-02-07,100.200000,100.200000
057-0002,88101,2002-02-10,23.400000,23.400000
057-0002,88101,2002-02-13,41.900000,41.900000
057-0002,88101,2002-02-16,36.500000,36.500000
057-0002,88101,2002-02-19,25.600000,25.600000
057-0002,88101,2002-02-22,27.100000,27.100000
057-0002,88101,2002-02-25,4.000000,4.000000
057-0002,88101,2002-02-28,10.500000,10.500000
057-0002,88101,2002-03-03,9.600000,9.600000
057-0002,88101,2002-03-06,18.200000,18.200000
057-0002,88101,2002-03-09,10.700000,10.700000
057-0002,88101,2002-03-12,4.000000,4.000000
057-0002,88101,2002-03-15,10.700000,10.700000
057-0002,88101,2002-03-18,5.400000,5.400000
057-0002,88101,2002-03-21,7.400000,7.400000
057-0002,88101,2002-03-24,3.700000,3.700000
057-0002,88101,2002-03-27,6.400000,6.400000
057-0002,88101,2002-03-30,7.700000,7.700000
057-0002,88101,2002-04-02,4.900000,4.900000
057-0002,88101,2002-04-05,7.700000,7.700000
057-0002,88101,2002-04-08,5.700000,5.700000
057-0002,88101,2002-04-11,4.700000,4.700000
057-0002,88101,2002-04-17,5.000000,5.000000
057-0002,88101,2002-04-20,5.100000,5.100000
057-0002,88101,2002-04-23,6.900000,6.900000
057-0002,88101,2002-04-26,6.100000,6.100000
057-0002,88101,2002-04-29,7.900000,7.900000
057-0002,88101,2002-05-02,4.200000,4.200000
057-0002,88101,2002-05-05,7.400000,7.400000
057-0002,88101,2002-05-08,3.000000,3.000000
057-0002,88101,2002-05-11,4.000000,4.000000
057-0002,88101,2002-05-14,6.200000,6.200000
057-0002,88101,2002-05-17,6.800000,6.800000
057-0002,88101,2002-05-20,10.400000,10.400000
057-0002,88101,2002-05-23,3.500000,3.500000
057-0002,88101,2002-05-26,4.400000,4.400000
057-0002,88101,2002-05-29,7.400000,7.400000
057-0002,88101,2002-06-01,8.500000,8.500000
057-0002,88101,2002-06-04,7.700000,7.700000
057-0002,88101,2002-06-07,7.300000,7.300000
057-0002,88101,2002-06-10,3.800000,3.800000
057-0002,88101,2002-06-13,6.100000,6.100000
057-0002,88101,2002-06-16,8.200000,8.200000
057-0002,88101,2002-06-19,3.500000,3.500000
057-0002,88101,2002-06-22,5.200000,5.200000
057-0002,88101,2002-06-25,8.100000,8.100000
057-0002,88101,2002-06-28,8.900000,8.900000
057-0002,88101,2002-07-01,7.300000,7.300000
057-0002,88101,2002-07-04,108.300000,108.300000
057-0002,88101,2002-07-07,8.500000,8.500000
057-0002,88101,2002-07-10,7.300000,7.300000
057-0002,88101,2002-07-13,6.600000,6.600000
057-0002,88101,2002-07-16,11.200000,11.200000
057-0002,88101,2002-07-22,10.600000,10.600000
057-0002,88101,2002-07-25,4.400000,4.400000
057-0002,88101,2002-07-28,7.400000,7.400000
057-0002,88101,2002-07-31,13.500000,13.500000
057-0002,88101,2002-08-03,6.500000,6.500000
057-0002,88101,2002-08-06,7.000000,7.000000
057-0002,88101,2002-08-09,6.700000,6.700000
057-0002,88101,2002-08-12,8.000000,8.000000
057-0002,88101,2002-08-15,6.600000,6.600000
057-0002,88101,2002-08-18,14.600000,14.600000
057-0002,88101,2002-08-21,13.700000,13.700000
057-0002,88101,2002-08-24,9.500000,9.500000
057-0002,88101,2002-08-27,11.700000,11.700000
057-0002,88101,2002-08-30,10.100000,10.100000
057-0002,88101,2002-09-02,6.600000,6.600000
057-0002,88101,2002-09-05,13.900000,13.900000
057-0002,88101,2002-09-08,4.200000,4.200000
057-0002,88101,2002-09-11,10.300000,10.300000
057-0002,88101,2002-09-14,9.600000,9.600000
057-0002,88101,2002-09-17,6.500000,6.500000
057-0002,88101,2002-09-20,7.100000,7.100000
057-0002,88101,2002-09-23,9.600000,9.600000
057-0002,88101,2002-09-26,9.600000,9.600000
057-0002,88101,2002-09-29,4.000000,4.000000
057-0002,88101,2002-10-02,4.500000,4.500000
057-0002,88101,2002-10-05,7.700000,7.700000
057-0002,88101,2002-10-08,8.500000,8.500000
057-0002,88101,2002-10-11,8.300000,8.300000
057-0002,88101,2002-10-14,16.200000,16.200000
057-0002,88101,2002-10-17,10.800000,10.800000
057-0002,88101,2002-10-20,9.300000,9.300000
057-0002,88101,2002-10-23,8.700000,8.700000
057-0002,88101,2002-10-26,10.900000,10.900000
057-0002,88101,2002-10-29,7.200000,7.200000
057-0002,88101,2002-11-01,14.100000,14.100000
057-0002,88101,2002-11-04,16.500000,16.500000
057-0002,88101,2002-11-07,9.500000,9.500000
057-0002,88101,2002-11-13,13.600000,13.600000
057-0002,88101,2002-11-16,17.500000,17.500000
057-0002,88101,2002-11-19,18.900000,18.900000
057-0002,88101,2002-11-22,28.700000,28.700000
057-0002,88101,2002-11-25,6.400000,6.400000
057-0002,88101,2002-11-28,32.400000,32.400000
057-0002,88101,2002-12-01,52.300000,52.300000
057-0002,88101,2002-12-04,35.400000,35.400000
057-0002,88101,2002-12-07,31.500000,31.500000
057-0002,88101,2002-12-10,37.900000,37.900000
057-0002,88101,2002-12-13,17.200000,17.200000
057-0002,88101,2002-12-16,4.300000,4.300000
057-0002,88101,2002-12-19,11.700000,11.700000
