county_site_id,parameter_code,date_local,arithmetic_mean,max_value
051-0001,61101,2024-08-02,2.666667,4.600000
051-0001,61101,2024-08-03,3.345833,8.600000
051-0001,61101,2024-08-04,2.720833,6.100000
051-0001,61101,2024-08-05,3.216667,8.900000
051-0001,61101,2024-08-06,3.195833,7.100000
051-0001,61101,2024-08-07,3.175000,7.200000
051-0001,61101,2024-08-08,3.050000,6.400000
051-0001,61101,2024-08-09,3.479167,10.200000
051-0001,61101,2024-08-10,3.212500,10.400000
051-0001,61101,2024-08-11,4.154167,9.000000
051-0001,61101,2024-08-12,3.279167,7.400000
051-0001,61101,2024-08-13,4.158333,8.600000
051-0001,61101,2024-08-14,3.212500,11.000000
051-0001,61101,2024-08-15,3.812500,9.200000
051-0001,61101,2024-08-16,3.345833,8.000000
051-0001,61101,2024-08-17,2.895833,8.800000
051-0001,61101,2024-08-18,3.479167,9.900000
051-0001,61101,2024-08-19,3.958333,8.200000
051-0001,61101,2024-08-20,3.529167,9.500000
051-0001,61101,2024-08-21,5.362500,12.100000
051-0001,61101,2024-08-22,5.129167,9.900000
051-0001,61101,2024-08-23,7.141667,12.700000
051-0001,61101,2024-08-24,9.862500,15.700000
051-0001,61101,2024-08-25,4.562500,11.400000
051-0001,61101,2024-08-26,3.120833,5.200000
051-0001,61101,2024-08-27,3.958333,12.100000
051-0001,61101,2024-08-28,3.845833,8.400000
051-0001,61101,2024-08-29,3.208333,6.400000
051-0001,61101,2024-08-30,3.004167,5.300000
051-0001,61101,2024-08-31,2.866667,5.400000
051-0001,61101,2024-09-01,2.787500,4.300000
051-0001,61101,2024-09-02,3.637500,8.600000
051-0001,61101,2024-09-03,3.937500,7.000000
051-0001,61101,2024-09-04,4.070833,9.900000
051-0001,61101,2024-09-05,3.079167,5.100000
051-0001,61101,2024-09-06,2.975000,5.800000
051-0001,61101,2024-09-07,2.508333,4.300000
051-0001,61101,2024-09-08,3.187500,9.400000
051-0001,61101,2024-09-09,3.770833,9.600000
051-0001,61101,2024-09-10,3.666667,8.200000
051-0001,61101,2024-09-11,6.345833,11.900000
051-0001,61101,2024-09-12,5.012500,11.500000
051-0001,61101,2024-09-13,3.716667,8.300000
051-0001,61101,2024-09-14,3.920833,9.500000
051-0001,61101,2024-09-15,3.795833,9.200000
051-0001,61101,2024-09-16,4.091667,8.100000
051-0001,61101,2024-09-17,4.841667,14.500000
051-0001,61101,2024-09-18,3.141667,7.600000
051-0001,61101,2024-09-19,2.837500,4.700000
051-0001,61101,2024-09-20,3.337500,7.300000
051-0001,61101,2024-09-21,2.908333,5.300000
051-0001,61101,2024-09-22,2.825000,6.900000
051-0001,61101,2024-09-23,2.795833,6.200000
051-0001,61101,2024-09-24,2.512500,4.500000
051-0001,61101,2024-09-25,3.633333,9.800000
