county_site_id,parameter_code,date_local,arithmetic_mean,max_value
051-0001,88101,2024-08-01,15.016422,21.700000
051-0001,88101,2024-08-02,11.298529,16.400000
051-0001,88101,2024-08-03,8.117136,12.700000
051-0001,88101,2024-08-04,5.857353,12.200000
051-0001,88101,2024-08-05,4.667402,7.200000
051-0001,88101,2024-08-06,5.049020,6.900000
051-0001,88101,2024-08-07,7.203186,12.300000
051-0001,88101,2024-08-08,12.166496,16.200000
051-0001,88101,2024-08-09,9.854987,16.700000
051-0001,88101,2024-08-10,6.387255,7.900000
051-0001,88101,2024-08-11,7.082353,12.500000
051-0001,88101,2024-08-12,4.014706,6.200000
051-0001,88101,2024-08-13,2.983578,4.400000
051-0001,88101,2024-08-14,3.425980,6.700000
051-0001,88101,2024-08-15,2.800000,5.400000
051-0001,88101,2024-08-16,3.434559,7.200000
051-0001,88101,2024-08-17,3.893873,10.900000
051-0001,88101,2024-08-18,2.216912,3.500000
051-0001,88101,2024-08-19,2.468627,4.900000
051-0001,88101,2024-08-20,2.956373,5.300000
051-0001,88101,2024-08-21,2.957353,7.500000
051-0001,88101,2024-08-22,3.419853,8.600000
051-0001,88101,2024-08-23,2.313480,5.100000
051-0001,88101,2024-08-24,6.671078,19.500000
051-0001,88101,2024-08-25,5.824510,9.300000
051-0001,88101,2024-08-26,6.112990,8.900000
051-0001,88101,2024-08-27,3.856373,6.300000
051-0001,88101,2024-08-28,5.448284,19.700000
051-0001,88101,2024-08-29,4.525980,6.900000
051-0001,88101,2024-08-30,4.406127,6.200000
051-0001,88101,2024-08-31,5.838725,6.900000
051-0001,88101,2024-09-01,6.684069,7.900000
051-0001,88101,2024-09-02,4.757843,7.800000
051-0001,88101,2024-09-03,3.353186,5.400000
051-0001,88101,2024-09-04,11.385539,25.600000
051-0001,88101,2024-09-05,12.238725,24.600000
051-0001,88101,2024-09-06,6.623039,9.600000
051-0001,88101,2024-09-07,7.213480,8.600000
051-0001,88101,2024-09-08,7.973529,9.900000
051-0001,88101,2024-09-09,6.046569,9.900000
051-0001,88101,2024-09-10,5.018382,7.000000
051-0001,88101,2024-09-11,26.002696,66.200000
051-0001,88101,2024-09-12,11.877696,59.000000
051-0001,88101,2024-09-13,3.342647,4.600000
051-0001,88101,2024-09-14,6.154657,9.800000
051-0001,88101,2024-09-15,4.817157,9.400000
051-0001,88101,2024-09-16,2.854412,5.700000
051-0001,88101,2024-09-17,3.055392,4.600000
051-0001,88101,2024-09-18,2.658824,4.700000
051-0001,88101,2024-09-19,3.469853,6.200000
051-0001,88101,2024-09-20,4.265196,6.300000
051-0001,88101,2024-09-21,3.611520,6.000000
051-0001,88101,2024-09-22,4.324755,7.700000
051-0001,88101,2024-09-23,3.659804,5.600000
051-0001,88101,2024-09-24,3.196814,8.100000
