elev_ft_NAVD88,area_ft2,volume_ft3
4171.97,692241072,692419798.9
4171.98,695811730.2,699195352.3
4171.99,699701269.2,706348003.3
4172,703807162.8,713200629.8
4172.01,708557814.7,720095254.1
4172.02,713159924.6,727383511.5
4172.03,717748041.4,734369605.5
4172.04,721869542.7,741749694.2
4172.05,725420825.8,748814251.1
4172.06,731112781.7,756277685.1
4172.07,737712942.4,763454693.7
4172.08,743623136.6,771047895.5
4172.09,750802126.6,778337541.8
4172.1,757773911.4,786069523.2
4172.11,765276356.9,793507421.7
4172.12,773235999.6,801393893.2
4172.13,780510788.5,808977279.8
4172.14,792029249,817036664.3
4172.15,800733485.2,824809419
4172.16,819988506.3,833090607.8
4172.17,837033965.7,841182579.3
4172.18,854957222.1,849862623.9
4172.19,873768501,858299058.2
4172.2,888853852.4,867330691.6
4172.21,899274124.9,876051926.4
4172.22,907809905.9,885321048.9
4172.23,915360250.9,894221786.5
4172.24,925535106.3,903654506.3
4172.25,933294809.3,912732353.3
4172.26,939783025.4,921875781.7
4172.27,948082538.5,931553265
4172.28,954227385.9,940840330.7
4172.29,962293591.3,950669765.4
4172.3,969963146.5,960103774.5
4172.31,976906406.9,970082378.5
4172.32,984391092.1,979660235.6
4172.33,990761712.4,989782970
4172.34,996171653.8,999485055.7
4172.35,1001475032,1009722989
4172.36,1008446548,1019544989
4172.37,1014384190,1029915181
4172.38,1018901265,1039844790
4172.39,1024346189,1050316518
4172.4,1028845773,1060344344
4172.41,1034350437,1070921362
4172.42,1039540794,1081047536
4172.43,1045118384,1091732496
4172.44,1049663445,1101960822
4172.45,1054301614,1112748222
4172.46,1057823834,1123060823
4172.47,1061574788,1133925167
4172.48,1065573312,1144312776
4172.49,1069681358,1155258569
4172.5,1074165603,1165725223
4172.51,1078404969,1176234059
4172.52,1083923626,1187325202
4172.53,1088027367,1197929409
4172.54,1092628939,1209111105
4172.55,1095972209,1219796688
4172.56,1099866323,1231054004
4172.57,1103074507,1241809773
4172.58,1106689835,1253138125
4172.59,1110365979,1263962913
4172.6,1115050702,1275371166
4172.61,1119039808,1286277708
4172.62,1124007621,1297775499
4172.63,1128347361,1308772174
4172.64,1133006519,1320363454
4172.65,1137048906,1331447379
