elev_ft_NAVD88,area_ft2,volume_ft3
4171.98,1149805485,834671514.6
4171.99,1185621859,846636472.8
4172,1219170815,858366712.5
4172.01,1287849407,870534360.9
4172.02,1344276248,884042168.3
4172.03,1388443801,897377843.5
4172.04,1439732758,911878542.1
4172.05,1496826961,926188210.1
4172.06,1573105681,941930553.5
4172.07,1607571184,957465396.1
4172.08,1647240230,974135405.1
4172.09,1693597163,990442220.6
4172.1,1745308065,1008054689
4172.11,1788776503,1025304246
4172.12,1843685632,1043955747
4172.13,1885365108,1062146559
4172.14,1945187692,1081742671
4172.15,1997173343,1100991624
4172.16,2070454584,1121814444
4172.17,2116024944,1142278110
4172.18,2146597140,1164128487
4172.19,2180393666,1185253444
4172.2,2203934608,1207735139
4172.21,2224637106,1229350421
4172.22,2245072928,1252264300
4172.23,2264954677,1274282747
4172.24,2283509506,1297596349
4172.25,2302051418,1319984968
4172.26,2324692497,1342570420
4172.27,2346898982,1366516082
4172.28,2364226994,1389521130
4172.29,2377881284,1413830311
4172.3,2391513776,1437112175
4172.31,2407649685,1461713768
4172.32,2425226882,1485300857
4172.33,2443270694,1510256734
4172.34,2461712232,1534205564
4172.35,2478569054,1559531314
4172.36,2491807050,1583801223
4172.37,2506311150,1609428337
4172.38,2519159491,1633961954
4172.39,2534463081,1659870177
4172.4,2550141255,1684690181
4172.41,2565684880,1710915528
4172.42,2580887827,1736044800
4172.43,2595685243,1762587504
4172.44,2609119949,1787998709
4172.45,2623400429,1814824058
4172.46,2636586758,1840506050
4172.47,2649410073,1867607451
4172.48,2662649145,1893542030
4172.49,2677766250,1920918565
4172.5,2691375869,1947132748
4172.51,2706028511,1973484200
4172.52,2719463217,2001298208
4172.53,2732053763,2027915581
4172.54,2743821677,2055989194
4172.55,2756579333,2082841296
4172.56,2769824055,2111173036
4172.57,2783620967,2138284498
4172.58,2797164388,2166893125
4172.59,2811039876,2194275532
4172.6,2824179650,2223165133
4172.61,2836021028,2250800804
4172.62,2848637946,2279941981
4172.63,2861332363,2307818490
4172.64,2874414820,2337221791
4172.65,2887139108,2365351757
4172.66,2900814925,2395022073
4172.67,2914468138,2423413838
4172.68,2927803008,2453365119
4172.69,2940279995,2482013812
4172.7,2953803503,2512229492
4172.71,2966967496,2541134764
4172.72,2980063408,2571623057
4172.73,2992344492,2600780074
4172.74,3006351837,2631531668
4172.75,3020513645,2660955240
4172.76,3034269385,2690515575
4172.77,3048387868,2721694285
4172.78,3060621859,2751521007
4172.79,3074117919,2782968202
4172.8,3087690134,2813048877
4172.81,3103778143,2844791203
4172.82,3117187016,2875160377
4172.83,3133287942,2907202418
4172.84,3147528865,2937867773
4172.85,3161754987,2970210885
4172.86,3176192351,3001147769
4172.87,3196403207,3033814276
4172.88,3213472347,3065107695
4172.89,3231407175,3098139084
4172.9,3251809090,3129790955
4172.91,3269562008,3163224033
4172.92,3284041620,3195217171
4172.93,3302216752,3228978099
4172.94,3318576281,3261298870
4172.95,3339225767,3295425156
4172.96,3358572281,3328126214
4172.97,3373456079,3362641195
4172.98,3389998325,3395663986
4172.99,3405133998,3430499923
4173,3422385048,3463831404
4173.01,3442744177,3497348913
4173.02,3463245928,3532749264
4173.03,3482076582,3566656908
4173.04,3503665757,3602463657
4173.05,3528326145,3636787752
4173.06,3548213277,3673069655
4173.07,3566565744,3707803042
4173.08,3591489310,3744483093
4173.09,3617123562,3779675522
4173.1,3641428741,3816892709
4173.11,3657617393,3852529255
4173.12,3673798780,3890115122
4173.13,3690676322,3926068013
4173.14,3709935918,3964008501
4173.15,3725650958,4000311961
4173.16,3741977388,4038591645
4173.17,3757623809,4075207062
4173.18,3774962854,4113821746
4173.19,3790601201,4150760608
4173.2,3806457248,4189705197
4173.21,3819749601,4226938841
4173.22,3833542745,4266172779
4173.23,3845525938,4303664908
4173.24,3858323151,4343157959
4173.25,3870802290,4380893051
4173.26,3883122393,4418752823
4173.27,3896537724,4458638430
4173.28,3908308060,4496748404
4173.29,3918510363,4536875096
4173.3,3928532102,4575188390
4173.31,3939768010,4615527257
4173.32,3951778112,4654058458
4173.33,3963530957,4694638454
4173.34,3974355683,4733397446
4173.35,3984955982,4774203704
4173.36,3994139481,4813162492
4173.37,4003945942,4854166654
4173.38,4014270147,4893315621
4173.39,4025510360,4934533557
4173.4,4035904799,4973894083
4173.41,4046830168,5015331171
4173.42,4057548332,5054903432
4173.43,4067831903,5096560997
4173.44,4076820037,5136328174
4173.45,4087069164,5178182070
4173.46,4096646891,5218139011
4173.47,4108127947,5260202582
4173.48,4117602341,5300365914
4173.49,4127749210,5342636740
4173.5,4137048691,5382990755
4173.51,4147368859,5423438649
4173.52,4157454912,5466015550
4173.53,4167027796,5506660438
4173.54,4176670914,5549435822
4173.55,4186614076,5590269572
4173.56,4197017127,5633250249
4173.57,4206700879,5674281193
4173.58,4216730421,5717465682
4173.59,4227330720,5758691487
4173.6,4237494274,5802088616
4173.61,4246800481,5843513155
4173.62,4256922056,5887107953
4173.63,4267244915,5928726178
4173.64,4277583920,5972532925
4173.65,4288081154,6014353811
4173.66,4298067103,6058372453
4173.67,4307630568,6100390109
4173.68,4317586916,6144607360
4173.69,4327867258,6186819368
4173.7,4338565240,6231248069
4173.71,4349972294,6273668526
4173.72,4360495631,6318323170
4173.73,4370763056,6360954446
4173.74,4380706218,6405819375
4173.75,4390669563,6448645096
4173.76,4400914114,6491568884
4173.77,4411907565,6536748204
4173.78,4422111752,6579879320
4173.79,4433931602,6625281855
4173.8,4444542665,6668629978
4173.81,4455821629,6714257826
4173.82,4466516919,6757819617
4173.83,4477836247,6803672149
4173.84,4488201355,6847449121
4173.85,4498660378,6893521864
4173.86,4510742867,6937508353
4173.87,4522849575,6983822332
4173.88,4534332246,7028046864
4173.89,4545236356,7074595373
4173.9,4556906857,7119036814
4173.91,4568042660,7165817974
4173.92,4579085356,7210479945
4173.93,4591244269,7257494765
4173.94,4603189250,7302385506
4173.95,4617496909,7349655357
4173.96,4632099499,7394819489
4173.97,4644061432,7442375554
4173.98,4655851412,7487782674
4173.99,4668495240,7535584649
4174,4681644164,7581236338
4174.01,4695570511,7627021140
4174.02,4711362513,7675243204
4174.03,4725619312,7721318083
4174.04,4741222946,7769848208
4174.05,4757644906,7816223633
4174.06,4773017385,7865083072
4174.07,4789382027,7911769209
4174.08,4809911495,7960976299
4174.09,4828396896,8008032396
4174.1,4850650205,8057649428
4174.11,4871378267,8105118425
4174.12,4888728345,8155156757
4174.13,4903978923,8202967336
4174.14,4921868542,8253342596
4174.15,4938385224,8301484910
4174.16,4955991752,8352209491
4174.17,4969938820,8400673491
4174.18,4985324215,8451711666
4174.19,4998872749,8500460303
4174.2,5014374395,8551792969
4174.21,5027973789,8600824348
4174.22,5041790075,8652447389
4174.23,5054790457,8701744896
4174.24,5067780075,8753639074
4174.25,5077434226,8803174389
4174.26,5086881979,8852802634
4174.27,5098379988,8905020445
4174.28,5109579299,8954862540
4174.29,5120705146,9007311529
4174.3,5130775591,9057367321
4174.31,5141443434,9110029738
4174.32,5151728619,9160287197
4174.33,5162579448,9213167106
4174.34,5172243825,9263628735
4174.35,5183134750,9316718559
4174.36,5191947971,9367376833
4174.37,5201547495,9420664113
4174.38,5210492843,9471501368
4174.39,5220654782,9524979734
4174.4,5229982248,9576007565
4174.41,5239383178,9629682030
4174.42,5248295427,9680889724
4174.43,5257709274,9734751871
4174.44,5266563936,9786137272
4174.45,5275528390,9840184616
4174.46,5284863660,9891745603
4174.47,5295199705,9945987130
4174.48,5303744904,9997738691
4174.49,5312745148,10052167596
4174.5,5320861406,10104087722
4174.51,5330139358,10156090708
4174.52,5339593032,10210792351
4174.53,5348491825,10262977573
4174.54,5357889527,10317866390
4174.55,5366835682,10370230437
4174.56,5376233652,10425306881
4174.57,5384948652,10477849366
4174.58,5393933019,10533110708
4174.59,5402949408,10585826129
4174.6,5411693740,10641270963
4174.61,5420730581,10694160090
4174.62,5430322033,10749791090
4174.63,5439000166,10802861820
4174.64,5448033778,10858675699
4174.65,5456975089,10911919836
4174.66,5466373598,10967919379
4174.67,5476151265,11021346733
4174.68,5485646379,11077545236
4174.69,5494636666,11131156707
4174.7,5503548377,11187541116
4174.71,5513262537,11241329434
4174.72,5522655932,11297908489
4174.73,5531175298,11351881286
4174.74,5540713469,11408645297
4174.75,5549199466,11462794547
4174.76,5558935693,11517031012
4174.77,5567940511,11574076283
4174.78,5577316684,11628495206
4174.79,5586538126,11685730553
4174.8,5595654351,11740329292
4174.81,5604977512,11797752277
4174.82,5614474779,11852533444
4174.83,5624825894,11910153667
4174.84,5635458754,11965134337
4174.85,5645272749,12022968803
4174.86,5654934704,12078144296
4174.87,5665200514,12136180392
4174.88,5675045994,12191549932
4174.89,5685984011,12249795738
4174.9,5696451645,12305370713
4174.91,5708834178,12363843159
4174.92,5719676396,12419643705
4174.93,5731018867,12478348473
4174.94,5742083628,12534367105
4174.95,5753166420,12593299770
4174.96,5764913075,12649537145
4174.97,5776146830,12708704338
4174.98,5789296292,12765172200
4174.99,5802442525,12824599430
4175,5814970371,12881321481
4175.01,5828219130,12938166631
4175.02,5841656527,12997994132
4175.03,5853561143,13055093803
4175.04,5870315169,13115190470
4175.05,5887269674,13172592529
4175.06,5900873104,13233026176
4175.07,5917415081,13290725665
4175.08,5935186297,13351476141
4175.09,5955208785,13409530109
4175.1,5973303188,13470680637
4175.11,5995312156,13529121057
4175.12,6015559071,13590691905
4175.13,6032202229,13649509615
4175.14,6049870381,13711453604
4175.15,6063348142,13770594891
4175.16,6076631615,13832831842
4175.17,6090590523,13892240908
4175.18,6105337350,13954763836
4175.19,6121111860,14014454311
4175.2,6135637757,14077294280
4175.21,6145551588,14137256741
4175.22,6157472888,14200328709
4175.23,6168448040,14260508987
4175.24,6180879280,14323813668
4175.25,6189585131,14384214707
4175.26,6200426272,14444709578
4175.27,6209474685,14508332929
4175.28,6218028764,14569011694
4175.29,6227255588,14632817514
4175.3,6236984549,14693672527
4175.31,6247129265,14757678464
4175.32,6255025132,14818722340
4175.33,6265331845,14882909458
4175.34,6272780471,14944129250
4175.35,6281282615,15008491617
4175.36,6289151302,15069869265
4175.37,6297399687,15134397663
4175.38,6305569226,15195933159
4175.39,6313529407,15260629395
4175.4,6320860168,15322319320
4175.41,6328426659,15387169823
4175.42,6335275197,15449001987
4175.43,6343630413,15514002646
4175.44,6351150888,15575986961
4175.45,6359649264,15641153759
4175.46,6366485424,15703291588
4175.47,6373459362,15768606784
4175.48,6379949730,15830877345
4175.49,6386764362,15896329865
4175.5,6393140095,15958729455
4175.51,6400163009,16021194373
4175.52,6407175427,16086855110
4175.53,6413657454,16149455064
4175.54,6420364178,16215252345
4175.55,6427205450,16277982041
4175.56,6433941236,16343919015
4175.57,6440589027,16406780496
4175.58,6447542513,16472855412
4175.59,6454350956,16535850474
4175.6,6461609868,16602068044
4175.61,6467933934,16665199765
4175.62,6474586838,16731554442
4175.63,6481300827,16794814732
