elev_ft_NAVD88,area_ft2,volume_ft3
4172.02,2057436172,1611425680
4172.03,2106191843,1631747449
4172.04,2161602301,1653628236
4172.05,2222247787,1675002461
4172.06,2304218463,1698208239
4172.07,2345284126,1720920090
4172.08,2390863367,1745183301
4172.09,2444399290,1768779762
4172.1,2503081977,1794124212
4172.11,2554052860,1818811668
4172.12,2616921631,1845349640
4172.13,2665875896,1871123839
4172.14,2737216941,1898779335
4172.15,2797906828,1925801043
4172.16,2890443090,1954905052
4172.17,2953058910,1983460689
4172.18,3001554362,2013991111
4172.19,3054162167,2043552502
4172.2,3092788460,2075065830
4172.21,3123911230,2105402347
4172.22,3152882834,2137585349
4172.23,3180314928,2168504534
4172.24,3209044613,2201250855
4172.25,3235346228,2232717321
4172.26,3264475522,2264446202
4172.27,3294981521,2298069347
4172.28,3318454380,2330361461
4172.29,3340174875,2364500077
4172.3,3361476923,2397215949
4172.31,3384556092,2431796147
4172.32,3409617974,2464961093
4172.33,3434032406,2500039704
4172.34,3457883886,2533690620
4172.35,3480044087,2569254303
4172.36,3500253598,2603346211
4172.37,3520695340,2639343518
4172.38,3538060757,2673806744
4172.39,3558809270,2710186695
4172.4,3578987028,2745034525
4172.41,3600035316,2781836891
4172.42,3620428621,2817092336
4172.43,3640803627,2854320000
4172.44,3658783394,2889959531
4172.45,3677702043,2927572280
4172.46,3694410592,2963566873
4172.47,3710984861,3001532618
4172.48,3728222456,3037854806
4172.49,3747447608,3076177134
4172.5,3765541472,3112857971
4172.51,3784433480,3149718260
4172.52,3803386843,3188623410
4172.53,3820081130,3225844990
4172.54,3836450616,3265100299
4172.55,3852551542,3302637984
4172.56,3869690378,3342227040
4172.57,3886695473,3380094271
4172.58,3903854223,3420031251
4172.59,3921405855,3458238445
4172.6,3939230352,3498536299
4172.61,3955060835,3537078512
4172.62,3972645567,3577717480
4172.63,3989679724,3616590663
4172.64,4007421340,3657585245
4172.65,4024188014,3696799136
4172.66,4041735879,3738147317
4172.67,4058682310,3777696489
4172.68,4075505226,3819397167
4172.69,4091201429,3859268722
4172.7,4107851315,3901300855
4172.71,4123997718,3941490088
4172.72,4140760894,3983858962
4172.73,4156402471,4024366627
4172.74,4174521630,4067073055
4172.75,4192265668,4107921189
