county_site_id,parameter_code,date_local,arithmetic_mean,max_value
011-0001,88101,1999-01-04,14.800000,14.800000
011-0001,88101,1999-01-06,9.000000,9.000000
011-0001,88101,1999-01-09,1.200000,1.200000
011-0001,88101,1999-01-12,12.300000,12.300000
011-0001,88101,1999-01-15,7.800000,7.800000
011-0001,88101,1999-01-18,6.700000,6.700000
011-0001,88101,1999-01-21,2.900000,2.900000
011-0001,88101,1999-01-24,20.100000,20.100000
011-0001,88101,1999-01-27,9.400000,9.400000
011-0001,88101,1999-01-30,46.900000,46.900000
011-0001,88101,1999-02-02,12.700000,12.700000
011-0001,88101,1999-02-05,13.400000,13.400000
011-0001,88101,1999-02-08,9.200000,9.200000
011-0001,88101,1999-02-11,11.700000,11.700000
011-0001,88101,1999-02-14,19.900000,19.900000
011-0001,88101,1999-02-17,6.100000,6.100000
011-0001,88101,1999-02-20,7.900000,7.900000
011-0001,88101,1999-02-23,3.300000,3.300000
011-0001,88101,1999-02-26,2.200000,2.200000
011-0001,88101,1999-03-01,4.800000,4.800000
011-0001,88101,1999-03-04,3.500000,3.500000
011-0001,88101,1999-03-07,7.600000,7.600000
011-0001,88101,1999-03-10,9.300000,9.300000
011-0001,88101,1999-03-13,17.300000,17.300000
011-0001,88101,1999-03-16,5.400000,5.400000
011-0001,88101,1999-03-19,10.500000,10.500000
011-0001,88101,1999-03-22,4.300000,4.300000
011-0001,88101,1999-03-25,5.400000,5.400000
011-0001,88101,1999-03-28,7.300000,7.300000
011-0001,88101,1999-03-31,7.500000,7.500000
011-0001,88101,1999-04-03,5.500000,5.500000
011-0001,88101,1999-04-06,3.800000,3.800000
011-0001,88101,1999-04-09,2.900000,2.900000
011-0001,88101,1999-04-12,5.100000,5.100000
011-0001,88101,1999-04-15,4.900000,4.900000
011-0001,88101,1999-04-18,5.200000,5.200000
011-0001,88101,1999-04-22,4.700000,4.700000
011-0001,88101,1999-04-24,5.000000,5.000000
011-0001,88101,1999-04-27,3.800000,3.800000
011-0001,88101,1999-04-30,5.600000,5.600000
011-0001,88101,1999-05-03,2.300000,2.300000
011-0001,88101,1999-05-06,5.300000,5.300000
