county_site_id,parameter_code,date_local,arithmetic_mean,max_value
049-0002,81102,1986-01-14,186.000000,186.000000
049-0002,81102,1986-01-20,29.000000,29.000000
049-0002,81102,1986-01-26,93.000000,93.000000
049-0002,81102,1986-02-01,30.000000,30.000000
049-0002,81102,1986-02-07,32.000000,32.000000
049-0002,81102,1986-02-13,19.000000,19.000000
049-0002,81102,1986-02-25,47.000000,47.000000
049-0002,81102,1986-03-03,60.000000,60.000000
049-0002,81102,1986-03-09,14.000000,14.000000
049-0002,81102,1986-03-15,18.000000,18.000000
049-0002,81102,1986-03-21,34.000000,34.000000
049-0002,81102,1986-03-27,47.000000,47.000000
049-0002,81102,1986-04-02,14.000000,14.000000
049-0002,81102,1986-04-08,148.000000,148.000000
049-0002,81102,1986-04-14,25.000000,25.000000
049-0002,81102,1986-04-20,22.000000,22.000000
049-0002,81102,1986-05-02,31.000000,31.000000
049-0002,81102,1986-05-08,11.000000,11.000000
049-0002,81102,1986-05-14,27.000000,27.000000
049-0002,81102,1986-05-20,26.000000,26.000000
049-0002,81102,1986-05-25,31.000000,31.000000
049-0002,81102,1986-06-01,31.000000,31.000000
049-0002,81102,1986-06-07,353.000000,353.000000
049-0002,81102,1986-06-13,26.000000,26.000000
049-0002,81102,1986-06-19,59.000000,59.000000
049-0002,81102,1986-06-25,41.000000,41.000000
049-0002,81102,1986-07-07,32.000000,32.000000
049-0002,81102,1986-07-13,39.000000,39.000000
049-0002,81102,1986-07-19,26.000000,26.000000
049-0002,81102,1986-07-25,18.000000,18.000000
049-0002,81102,1986-08-06,31.000000,31.000000
049-0002,81102,1986-08-12,30.000000,30.000000
049-0002,81102,1986-08-18,38.000000,38.000000
049-0002,81102,1986-08-24,16.000000,16.000000
049-0002,81102,1986-08-30,20.000000,20.000000
049-0002,81102,1986-09-05,28.000000,28.000000
049-0002,81102,1986-09-11,20.000000,20.000000
049-0002,81102,1986-09-17,31.000000,31.000000
049-0002,81102,1986-09-23,23.000000,23.000000
049-0002,81102,1986-09-29,30.000000,30.000000
049-0002,81102,1986-10-05,29.000000,29.000000
049-0002,81102,1986-10-11,11.000000,11.000000
049-0002,81102,1986-10-17,29.000000,29.000000
049-0002,81102,1986-10-23,31.000000,31.000000
049-0002,81102,1986-10-29,36.000000,36.000000
049-0002,81102,1986-11-04,48.000000,48.000000
049-0002,81102,1986-11-10,20.000000,20.000000
049-0002,81102,1986-11-16,23.000000,23.000000
049-0002,81102,1986-11-22,14.000000,14.000000
049-0002,81102,1986-11-28,42.000000,42.000000
049-0002,81102,1986-12-04,73.000000,73.000000
049-0002,81102,1986-12-10,25.000000,25.000000
049-0002,81102,1986-12-16,52.000000,52.000000
049-0002,81102,1986-12-22,72.000000,72.000000
049-0002,81102,1986-12-28,55.000000,55.000000
049-0002,81102,1987-01-03,41.000000,41.000000
049-0002,81102,1987-01-15,45.000000,45.000000
049-0002,81102,1987-01-21,74.000000,74.000000
049-0002,81102,1987-01-27,67.000000,67.000000
049-0002,81102,1987-02-02,78.000000,78.000000
049-0002,81102,1987-02-08,61.000000,61.000000
049-0002,81102,1987-02-14,10.000000,10.000000
049-0002,81102,1987-02-20,29.000000,29.000000
049-0002,81102,1987-02-26,29.000000,29.000000
049-0002,81102,1987-03-04,34.000000,34.000000
049-0002,81102,1987-03-10,18.000000,18.000000
049-0002,81102,1987-03-16,16.000000,16.000000
049-0002,81102,1987-03-22,18.000000,18.000000
049-0002,81102,1987-03-28,15.000000,15.000000
049-0002,81102,1987-04-03,26.000000,26.000000
049-0002,81102,1987-04-09,21.000000,21.000000
049-0002,81102,1987-04-15,42.000000,42.000000
049-0002,81102,1987-04-21,33.000000,33.000000
049-0002,81102,1987-04-27,28.000000,28.000000
049-0002,81102,1987-05-03,13.000000,13.000000
049-0002,81102,1987-05-09,28.000000,28.000000
049-0002,81102,1987-05-15,22.000000,22.000000
049-0002,81102,1987-05-21,19.000000,19.000000
049-0002,81102,1987-05-27,19.000000,19.000000
049-0002,81102,1987-06-02,28.000000,28.000000
049-0002,81102,1987-06-08,20.000000,20.000000
049-0002,81102,1987-06-14,26.000000,26.000000
049-0002,81102,1987-06-20,27.000000,27.000000
049-0002,81102,1987-06-26,31.000000,31.000000
049-0002,81102,1987-07-02,26.000000,26.000000
049-0002,81102,1987-07-08,34.000000,34.000000
049-0002,81102,1987-07-14,27.000000,27.000000
049-0002,81102,1987-07-20,29.000000,29.000000
049-0002,81102,1987-07-26,17.000000,17.000000
049-0002,81102,1987-08-01,24.000000,24.000000
049-0002,81102,1987-08-07,25.000000,25.000000
049-0002,81102,1987-08-13,32.000000,32.000000
049-0002,81102,1987-08-19,30.000000,30.000000
049-0002,81102,1987-08-31,43.000000,43.000000
049-0002,81102,1987-09-12,33.000000,33.000000
049-0002,81102,1987-09-18,37.000000,37.000000
049-0002,81102,1987-09-24,42.000000,42.000000
049-0002,81102,1987-09-30,119.000000,119.000000
049-0002,81102,1987-10-06,49.000000,49.000000
049-0002,81102,1987-10-12,43.000000,43.000000
049-0002,81102,1987-10-18,26.000000,26.000000
049-0002,81102,1987-10-24,22.000000,22.000000
049-0002,81102,1987-10-30,18.000000,18.000000
049-0002,81102,1987-11-05,34.000000,34.000000
