county_site_id,parameter_code,date_local,arithmetic_mean
005-0002,81102,1995-05-01,11.000000
005-0002,81102,1995-05-03,11.000000
005-0002,81102,1995-05-05,16.000000
005-0002,81102,1995-05-09,23.000000
005-0002,81102,1995-05-11,8.000000
005-0002,81102,1995-05-13,10.000000
005-0002,81102,1995-05-15,23.000000
005-0002,81102,1995-05-17,24.000000
005-0002,81102,1995-05-19,20.000000
005-0002,81102,1995-05-23,11.000000
005-0002,81102,1995-05-25,8.000000
005-0002,81102,1995-05-27,7.000000
005-0002,81102,1995-05-29,9.000000
005-0002,81102,1995-05-31,18.000000
005-0002,81102,1995-06-02,12.000000
005-0002,81102,1995-06-04,8.000000
005-0002,81102,1995-06-06,8.000000
005-0002,81102,1995-06-08,11.000000
005-0002,81102,1995-06-12,27.000000
005-0002,81102,1995-06-14,39.000000
005-0002,81102,1995-06-16,33.000000
005-0002,81102,1995-06-18,14.000000
005-0002,81102,1995-06-20,20.000000
005-0002,81102,1995-06-22,16.000000
005-0002,81102,1995-06-24,18.000000
005-0002,81102,1995-06-26,22.000000
005-0002,81102,1995-06-28,17.000000
005-0002,81102,1995-06-30,25.000000
005-0002,81102,1995-07-02,17.000000
005-0002,81102,1995-07-08,30.000000
005-0002,81102,1995-07-10,35.000000
005-0002,81102,1995-07-12,28.000000
005-0002,81102,1995-07-14,25.000000
005-0002,81102,1995-07-16,20.000000
005-0002,81102,1995-07-18,33.000000
005-0002,81102,1995-07-20,27.000000
005-0002,81102,1995-07-22,16.000000
005-0002,81102,1995-07-26,29.000000
005-0002,81102,1995-07-28,28.000000
005-0002,81102,1995-07-30,34.000000
005-0002,81102,1995-08-01,27.000000
005-0002,81102,1995-08-03,30.000000
005-0002,81102,1995-08-05,18.000000
005-0002,81102,1995-08-07,34.000000
005-0002,81102,1995-08-09,27.000000
005-0002,81102,1995-08-11,32.000000
005-0002,81102,1995-08-13,33.000000
005-0002,81102,1995-08-15,33.000000
005-0002,81102,1995-08-17,36.000000
005-0002,81102,1995-08-19,25.000000
005-0002,81102,1995-08-21,26.000000
005-0002,81102,1995-08-23,22.000000
005-0002,81102,1995-08-25,22.000000
005-0002,81102,1995-08-27,19.000000
005-0002,81102,1995-08-29,34.000000
005-0002,81102,1995-08-31,31.000000
005-0002,81102,1995-09-02,23.000000
005-0002,81102,1995-09-04,19.000000
005-0002,81102,1995-09-06,27.000000
005-0002,81102,1995-09-08,23.000000
005-0002,81102,1995-09-10,19.000000
005-0002,81102,1995-09-12,23.000000
005-0002,81102,1995-09-14,36.000000
005-0002,81102,1995-09-16,30.000000
005-0002,81102,1995-09-20,23.000000
005-0002,81102,1995-09-22,26.000000
005-0002,81102,1995-09-24,20.000000
005-0002,81102,1995-09-26,38.000000
005-0002,81102,1995-09-28,36.000000
005-0002,81102,1995-09-30,12.000000
005-0002,81102,1995-10-02,19.000000
005-0002,81102,1995-10-04,9.000000
005-0002,81102,1995-10-06,21.000000
005-0002,81102,1995-10-08,21.000000
005-0002,81102,1995-10-10,28.000000
005-0002,81102,1995-10-12,21.000000
005-0002,81102,1995-10-14,27.000000
005-0002,81102,1995-10-16,34.000000
005-0002,81102,1995-10-18,25.000000
005-0002,81102,1995-10-20,43.000000
005-0002,81102,1995-10-22,10.000000
005-0002,81102,1995-10-24,24.000000
005-0002,81102,1995-10-26,15.000000
005-0002,81102,1995-10-28,25.000000
005-0002,81102,1995-10-30,23.000000
005-0002,81102,1995-11-01,14.000000
005-0002,81102,1995-11-03,24.000000
005-0002,81102,1995-11-05,25.000000
005-0002,81102,1995-11-07,26.000000
005-0002,81102,1995-11-09,6.000000
005-0002,81102,1995-11-11,9.000000
005-0002,81102,1995-11-13,19.000000
005-0002,81102,1995-11-15,20.000000
005-0002,81102,1995-11-17,29.000000
005-0002,81102,1995-11-21,41.000000
005-0002,81102,1995-11-23,17.000000
005-0002,81102,1995-11-25,24.000000
005-0002,81102,1995-11-27,9.000000
005-0002,81102,1995-11-29,12.000000
005-0002,81102,1995-12-01,20.000000
005-0002,81102,1995-12-03,15.000000
005-0002,81102,1995-12-05,17.000000
005-0002,81102,1995-12-07,12.000000
005-0002,81102,1995-12-11,25.000000
005-0002,81102,1995-12-13,11.000000
005-0002,81102,1995-12-15,25.000000
005-0002,81102,1995-12-17,11.000000
005-0002,81102,1995-12-19,21.000000
005-0002,81102,1995-12-21,21.000000
005-0002,81102,1995-12-23,31.000000
005-0002,81102,1995-12-25,38.000000
005-0002,81102,1995-12-27,48.000000
005-0002,81102,1995-12-29,53.000000
005-0002,81102,1995-12-31,10.000000
005-0002,81102,1996-01-02,19.000000
005-0002,81102,1996-01-04,10.000000
005-0002,81102,1996-01-06,28.000000
005-0002,81102,1996-01-08,42.000000
005-0002,81102,1996-01-10,19.000000
005-0002,81102,1996-01-12,39.000000
005-0002,81102,1996-01-14,44.000000
005-0002,81102,1996-01-16,11.000000
005-0002,81102,1996-01-18,12.000000
005-0002,81102,1996-01-20,7.000000
005-0002,81102,1996-01-22,23.000000
005-0002,81102,1996-01-24,8.000000
005-0002,81102,1996-01-28,6.000000
005-0002,81102,1996-01-30,7.000000
005-0002,81102,1996-02-01,68.000000
005-0002,81102,1996-02-03,87.000000
005-0002,81102,1996-02-05,87.000000
005-0002,81102,1996-02-07,75.000000
005-0002,81102,1996-02-09,113.000000
005-0002,81102,1996-02-13,98.000000
005-0002,81102,1996-02-15,109.000000
005-0002,81102,1996-02-17,86.000000
005-0002,81102,1996-02-19,16.000000
005-0002,81102,1996-02-21,15.000000
005-0002,81102,1996-02-23,26.000000
005-0002,81102,1996-02-25,7.000000
005-0002,81102,1996-02-27,19.000000
005-0002,81102,1996-02-29,64.000000
005-0002,81102,1996-03-02,61.000000
005-0002,81102,1996-03-06,14.000000
005-0002,81102,1996-03-08,29.000000
005-0002,81102,1996-03-10,31.000000
005-0002,81102,1996-03-12,11.000000
005-0002,81102,1996-03-14,19.000000
005-0002,81102,1996-03-16,20.000000
005-0002,81102,1996-03-18,27.000000
005-0002,81102,1996-03-20,44.000000
005-0002,81102,1996-03-22,34.000000
005-0002,81102,1996-03-24,16.000000
005-0002,81102,1996-03-26,27.000000
005-0002,81102,1996-03-28,34.000000
005-0002,81102,1996-03-30,19.000000
005-0002,81102,1996-04-01,39.000000
005-0002,81102,1996-04-03,12.000000
005-0002,81102,1996-04-05,5.000000
005-0002,81102,1996-04-07,27.000000
005-0002,81102,1996-04-17,13.000000
