date,north_area_ft2,south_area_ft2,north_volume_ft3,south_volume_ft3
1875-10-01,,33031530319.530388,,692042089837.1051
1875-11-01,,33010608011.408463,,688737048441.5945
1875-12-01,,33054170904.100998,,695340302838.4084
1876-01-01,,33095797448.08878,,701961788961.6224
1876-02-01,,33145384764.088226,,705269580810.5696
1876-03-01,,33165190537.7039,,708588477690.58
1876-04-01,,33207054623.8571,,715222218737.9937
1876-05-01,,33262724960.648605,,725195664208.183
1876-06-01,,33374945535.345547,,745179634637.415
1876-07-01,,33481115802.395863,,765237933259.2275
1876-08-01,,33423960868.966198,,755202640214.7587
1876-09-01,,33314294606.9045,,735182277831.4984
1876-10-01,,33297260624.553146,,731848716098.8826
1877-07-01,,33392389133.35848,,748520675322.1333
1877-11-01,,33358052522.421417,,741848657316.8523
1877-12-01,,33076448578.818382,,698649906224.6819
1878-02-01,,33095797448.08878,,701961788961.6224
1878-04-01,,33145384764.088226,,705269580810.5696
1878-05-01,,33184256927.227013,,711899774977.5858
1878-07-01,,33207054623.8571,,715222218737.9937
1878-08-01,,33165190537.7039,,708588477690.58
1878-11-01,,32836469030.711235,,665688594320.7828
1878-12-01,,32809668802.824074,,662403020189.6372
1879-05-01,,32889847008.76755,,672261346062.1265
1879-08-15,,32747636799.648655,,655850033302.4178
1879-11-28,,31751084655.42318,,591341137895.9275
1879-12-01,,31751084655.42318,,591341137895.9275
1880-01-01,,31872011732.61849,,597701089450.8813
1880-02-01,,31803050569.31773,,594522143345.3264
1880-03-01,,31872011732.61849,,597701089450.8813
1880-04-01,,31914049055.621353,,600893325340.1652
1880-05-01,,32001697842.107693,,607284590760.2405
1880-06-01,,32148606113.10422,,616907059298.4926
1880-07-01,,32201371260.26811,,620127746831.3308
1880-08-01,,32050353314.75697,,610489973315.4806
1880-09-01,,31872011732.61849,,597701089450.8813
1880-10-01,,31486699970.74262,,575532110710.4827
1880-11-01,,31440145725.69951,,572388498270.6218
1880-12-01,,31318469474.047543,,566107333152.0813
1881-01-01,,31374654984.66023,,569245005317.1387
1881-02-01,,31486699970.74262,,575532110710.4827
1881-03-01,,31751084655.42318,,591341137895.9275
1881-04-01,,31803050569.31773,,594522143345.3264
1881-05-01,,32001697842.107693,,607284590760.2405
1881-06-01,,32201371260.26811,,620127746831.3308
1881-07-01,,32098677669.29386,,613691421668.1262
1881-08-01,,31957829710.474888,,604089944218.1343
1881-09-01,,31695847214.182636,,588172193343.0392
1881-10-01,,31538049486.55387,,578685675350.4695
1881-11-01,,31486699970.74262,,575532110710.4827
1881-12-01,,31486699970.74262,,575532110710.4827
1882-01-01,,31538049486.55387,,578685675350.4695
1882-02-01,,31597456474.546116,,581836496090.652
1882-03-01,,31645545902.870174,,585001806314.8572
1882-04-01,,31803050569.31773,,594522143345.3264
1882-05-01,,31914049055.621353,,600893325340.1652
